epoch,series,val_dfm_ce_loss,kind
95.5,exponential to floor,4.436597806811572,conditional projection
95.75,exponential to floor,4.436268608247665,conditional projection
96.0,exponential to floor,4.435944357029912,conditional projection
96.25,exponential to floor,4.435624978807341,conditional projection
96.5,exponential to floor,4.435310400346356,conditional projection
96.75,exponential to floor,4.435000549513952,conditional projection
97.0,exponential to floor,4.43469535526117,conditional projection
97.25,exponential to floor,4.434394747606808,conditional projection
97.5,exponential to floor,4.434098657621373,conditional projection
97.75,exponential to floor,4.433807017411276,conditional projection
98.0,exponential to floor,4.433519760103263,conditional projection
98.25,exponential to floor,4.433236819829085,conditional projection
98.5,exponential to floor,4.432958131710386,conditional projection
98.75,exponential to floor,4.432683631843836,conditional projection
99.0,exponential to floor,4.432413257286471,conditional projection
99.25,exponential to floor,4.432146946041263,conditional projection
99.5,exponential to floor,4.431884637042903,conditional projection
99.75,exponential to floor,4.431626270143801,conditional projection
100.0,exponential to floor,4.431371786100292,conditional projection
50.0,power law to floor,4.761169462568549,conditional projection
50.25,power law to floor,4.755735862061265,conditional projection
50.5,power law to floor,4.750400324569256,conditional projection
50.75,power law to floor,4.74516060789464,conditional projection
51.0,power law to floor,4.740014531803004,conditional projection
51.25,power law to floor,4.734959976018325,conditional projection
51.5,power law to floor,4.729994878292153,conditional projection
51.75,power law to floor,4.725117232543967,conditional projection
52.0,power law to floor,4.72032508706974,conditional projection
52.25,power law to floor,4.715616542815907,conditional projection
52.5,power law to floor,4.710989751716052,conditional projection
52.75,power law to floor,4.706442915087743,conditional projection
53.0,power law to floor,4.701974282087072,conditional projection
53.25,power law to floor,4.697582148218548,conditional projection
53.5,power law to floor,4.6932648538981505,conditional projection
53.75,power law to floor,4.689020783067356,conditional projection
54.0,power law to floor,4.684848361856147,conditional projection
54.25,power law to floor,4.680746057293041,conditional projection
54.5,power law to floor,4.676712376060258,conditional projection
54.75,power law to floor,4.672745863292288,conditional projection
55.0,power law to floor,4.668845101416127,conditional projection
55.25,power law to floor,4.665008709031557,conditional projection
55.5,power law to floor,4.661235339829928,conditional projection
55.75,power law to floor,4.657523681549944,conditional projection
56.0,power law to floor,4.653872454969019,conditional projection
56.25,power law to floor,4.6502804129288595,conditional projection
56.5,power law to floor,4.646746339393944,conditional projection
56.75,power law to floor,4.64326904854167,conditional projection
57.0,power law to floor,4.639847383882946,conditional projection
57.25,power law to floor,4.636480217412115,conditional projection
57.5,power law to floor,4.633166448785062,conditional projection
57.75,power law to floor,4.629905004524511,conditional projection
58.0,power law to floor,4.626694837251444,conditional projection
58.25,power law to floor,4.623534924941708,conditional projection
58.5,power law to floor,4.620424270206877,conditional projection
58.75,power law to floor,4.6173618995984675,conditional projection
59.0,power law to floor,4.614346862934662,conditional projection
59.25,power law to floor,4.6113782326487165,conditional projection
59.5,power law to floor,4.608455103158273,conditional projection
59.75,power law to floor,4.605576590254813,conditional projection
60.0,power law to floor,4.602741830512531,conditional projection
60.25,power law to floor,4.599949980715935,conditional projection
60.5,power law to floor,4.597200217305502,conditional projection
60.75,power law to floor,4.594491735840759,conditional projection
61.0,power law to floor,4.591823750480143,conditional projection
61.25,power law to floor,4.589195493477094,conditional projection
61.5,power law to floor,4.58660621469177,conditional projection
61.75,power law to floor,4.584055181117862,conditional projection
62.0,power law to floor,4.581541676423974,conditional projection
62.25,power law to floor,4.579065000509064,conditional projection
62.5,power law to floor,4.57662446907147,conditional projection
62.75,power law to floor,4.574219413191038,conditional projection
63.0,power law to floor,4.571849178923909,conditional projection
63.25,power law to floor,4.569513126909547,conditional projection
63.5,power law to floor,4.567210631989568,conditional projection
63.75,power law to floor,4.564941082837989,conditional projection
64.0,power law to floor,4.562703881602505,conditional projection
64.25,power law to floor,4.560498443556421,conditional projection
64.5,power law to floor,4.558324196760889,conditional projection
64.75,power law to floor,4.556180581737103,conditional projection
65.0,power law to floor,4.55406705114812,conditional projection
65.25,power law to floor,4.5519830694899905,conditional projection
65.5,power law to floor,4.549928112791891,conditional projection
65.75,power law to floor,4.547901668324966,conditional projection
66.0,power law to floor,4.545903234319585,conditional projection
66.25,power law to floor,4.543932319690762,conditional projection
66.5,power law to floor,4.541988443771438,conditional projection
66.75,power law to floor,4.540071136053409,conditional projection
67.0,power law to floor,4.538179935935628,conditional projection
67.25,power law to floor,4.536314392479656,conditional projection
67.5,power law to floor,4.534474064172026,conditional projection
67.75,power law to floor,4.532658518693312,conditional projection
68.0,power law to floor,4.530867332693671,conditional projection
68.25,power law to floor,4.529100091574674,conditional projection
68.5,power law to floor,4.527356389277213,conditional projection
68.75,power law to floor,4.525635828075302,conditional projection
69.0,power law to floor,4.523938018375577,conditional projection
69.25,power law to floor,4.522262578522335,conditional projection
69.5,power law to floor,4.520609134607918,conditional projection
69.75,power law to floor,4.518977320288296,conditional projection
70.0,power law to floor,4.517366776603677,conditional projection
70.25,power law to floor,4.515777151803997,conditional projection
70.5,power law to floor,4.5142081011791255,conditional projection
70.75,power law to floor,4.512659286893671,conditional projection
71.0,power law to floor,4.5111303778262135,conditional projection
71.25,power law to floor,4.509621049412856,conditional projection
71.5,power law to floor,4.50813098349495,conditional projection
71.75,power law to floor,4.506659868170872,conditional projection
72.0,power law to floor,4.505207397651736,conditional projection
72.25,power law to floor,4.5037732721209185,conditional projection
72.5,power law to floor,4.502357197597279,conditional projection
72.75,power law to floor,4.500958885801977,conditional projection
73.0,power law to floor,4.499578054028771,conditional projection
73.25,power law to floor,4.498214425017697,conditional projection
73.5,power law to floor,4.496867726832031,conditional projection
73.75,power law to floor,4.495537692738438,conditional projection
74.0,power law to floor,4.494224061090212,conditional projection
74.25,power law to floor,4.492926575213524,conditional projection
74.5,power law to floor,4.491644983296578,conditional projection
74.75,power law to floor,4.490379038281608,conditional projection
75.0,power law to floor,4.489128497759617,conditional projection
75.25,power law to floor,4.487893123867794,conditional projection
75.5,power law to floor,4.486672683189524,conditional projection
75.75,power law to floor,4.485466946656916,conditional projection
76.0,power law to floor,4.484275689455785,conditional projection
76.25,power law to floor,4.483098690933011,conditional projection
